word1	word2	pos	is-similar
tax	income	N	0
tax	taxation	N	1
teacher	helper	N	0
teacher	instructor	N	1
telephone	booth	N	0
telephone	phone	N	1
think	inquire	V	0
think	rationalize	V	1
throat	nose	N	0
throat	pharynx	N	1
tiny	huge	A	0
tiny	petite	A	1
tongue	lingua	N	1
tongue	throat	N	0
trial	test	N	1
trial	verdict	N	0
try	attempt	V	1
try	think	V	0
unnecessary	necessary	A	0
unnecessary	unneeded	A	1
wagon	container	N	0
wagon	waggon	N	1
water	h2o	N	1
water	salt	N	0
wealth	poverty	N	0
weird	normal	A	0
weird	odd	A	1
wide	broad	A	1
wide	narrow	A	0
winner	presence	N	0
winner	victor	N	1
winter	summer	N	0
winter	wintertime	N	1
yard	inch	N	0
yard	pace	N	1
